:cityname (?:"?(?<current>.*?)"?),(?<remains>.*) string
:statefips (?:"?(?<current>.*?)"?),(?<remains>.*) string
:statename (?:"?(?<current>.*?)"?),(?<remains>.*) string
:statecity (?:"?(?<current>.*?)"?),(?<remains>.*) string
:type (?:"?(?<current>.*?)"?),(?<remains>.*) string
:is_capital (?:"?(?<current>[nNyYfFtT])"?),(?<remains>.*) string
:sdo_gtype (?<current>^[0-9]*),(?<remains>.*) int
:sdo_srid (?<current>^[0-9]*),(?<remains>.*) int
:sdo_element_info_array (?<current>.*?)(?:,/(?<remains>.*))|(?<all>^.*$) clob /
:sdo_ordinate_array (?<current>.*?)(?:,/(?<remains>.*))|(?<all>^.*$) clob /
!enddescription
!data
 151,"13114","Coon Rapids","27","Minnesota","2713114","city","N",2001,8265,1,1,1,/-93.3110885665207,45.1740493917311,/
 152,"06382","Blaine","27","Minnesota","2706382","city","N",2001,8265,1,1,1,/-93.2083816579665,45.1661300574198,/
 153,"10846","Champlin","27","Minnesota","2710846","city","N",2001,8265,1,1,1,/-93.3892288024493,45.1654586691086,/
 154,"83750","Woodburn","41","Oregon","4183750","city","N",2001,8265,1,1,1,/-122.855796823854,45.1484184250527,/
 155,"70420","Willmar","27","Minnesota","2770420","city","N",2001,8265,1,1,1,/-95.0495681762892,45.1245994668958,/
 156,"07966","Brooklyn Park","27","Minnesota","2707966","city","N",2001,8265,1,1,1,/-93.3520813064769,45.1095695560507,/
 157,"44530","Mounds View","27","Minnesota","2744530","city","N",2001,8265,1,1,1,/-93.2061233638404,45.106029528611,/
 158,"40166","Maple Grove","27","Minnesota","2740166","city","N",2001,8265,1,1,1,/-93.4599609527886,45.1060218651653,/
 159,"49300","Marinette","55","Wisconsin","5549300","city","N",2001,8265,1,1,1,/-87.6269073298383,45.0885391231848,/
 160,"22814","Fridley","27","Minnesota","2722814","city","N",2001,8265,1,1,1,/-93.2589187791061,45.0847702053585,/
 161,"59998","Shoreview","27","Minnesota","2759998","city","N",2001,8265,1,1,1,/-93.1359481786404,45.0839004483151,/
 162,"01740","Alpena","26","Michigan","2601740","city","N",2001,8265,1,1,1,/-83.4375534058592,45.0727806124426,/
 163,"07948","Brooklyn Center","27","Minnesota","2707948","city","N",2001,8265,1,1,1,/-93.3178482100931,45.0688514669414,/
 164,"69970","White Bear Lake","27","Minnesota","2769970","city","N",2001,8265,1,1,1,/-93.0126724056736,45.0676498474652,/
 165,"45430","New Brighton","27","Minnesota","2745430","city","N",2001,8265,1,1,1,/-93.2043228064448,45.0655517369712,/
 166,"62824","Stillwater","27","Minnesota","2762824","city","N",2001,8265,1,1,1,/-92.8221664568355,45.0564994899383,/
 167,"66460","Vadnais Heights","27","Minnesota","2766460","city","N",2001,8265,1,1,1,/-93.0729675155346,45.0564193761008,/
 168,"12700","Columbia Heights","27","Minnesota","2712700","city","N",2001,8265,1,1,1,/-93.2466507036205,45.0490989797091,/
 169,"14158","Crystal","27","Minnesota","2714158","city","N",2001,8265,1,1,1,/-93.3593521106856,45.0373000920796,/
 170,"45628","New Hope","27","Minnesota","2745628","city","N",2001,8265,1,1,1,/-93.3869628889203,45.0369682296469,/
 171,"54808","Robbinsdale","27","Minnesota","2754808","city","N",2001,8265,1,1,1,/-93.3331832934394,45.0266990802892,/
 24,"20750","Edmonds","53","Washington","5320750","city","N",2001,8265,1,1,1,/-122.363662717439,47.8232536364477,/
 25,"49670","North Creek-Canyon Park","53","Washington","5349670","census designated place","N",2001,8265,1,1,1,/-122.186401360856,47.8105697529691,/
 26,"01178","Alderwood Manor-Bothell North","53","Washington","5301178","census designated place","N",2001,8265,1,1,1,/-122.242103556308,47.7995910742428,/
 27,"47490","Mountlake Terrace","53","Washington","5347490","city","N",2001,8265,1,1,1,/-122.306602462517,47.7911987203526,/
 28,"22255","Esperance","53","Washington","5322255","census designated place","N",2001,8265,1,1,1,/-122.354301466182,47.7890510617184,/
 29,"07380","Bothell","53","Washington","5307380","city","N",2001,8265,1,1,1,/-122.1968994006,47.7600288441495,/
 30,"58340","Richmond Highlands","53","Washington","5358340","census designated place","N",2001,8265,1,1,1,/-122.343002332106,47.7591285654516,/
 31,"49642","North City-Ridgecrest","53","Washington","5349642","census designated place","N",2001,8265,1,1,1,/-122.313102738091,47.7509002709591,/
 32,"79590","Woodinville","53","Washington","5379590","census designated place","N",2001,8265,1,1,1,/-122.111900336733,47.7461585800004,/
 33,"35835","Kingsgate","53","Washington","5335835","census designated place","N",2001,8265,1,1,1,/-122.167098990951,47.7305984379904,/
