'CY', 'RZZ', 'I', NULL, 36,    40, 0, 6, 'Current API ', '(in, mm)'
'CZ', 'RZZ', 'I', NULL, 54,    NULL, 0, 6, 'Climate Index', NULL
'EA', 'RZZ', 'D', NULL, 36,    40, 12, 1, 'Evapotranspiration potential amount ', '(IN, MM)'
'ED', 'RZZ', 'I', NULL, 36,    40, 12, 6, 'Evaporation, pan depth ', '(IN, MM)'
'EM', 'RZZ', 'D', NULL, 36,    40, 12, 1, 'Evapotranspiration amount ', '(IN, MM)'
'EP', 'RZZ', 'D', NULL, 36,    40, 12, 1, 'Evaporation, pan increment ', '(IN, MM)'
'ER', 'RZZ', 'D', NULL, 42,    46, 13, 1, 'Evaporation rate ', '(IN/day, MM/day)'
'ET', 'RZZ', 'D', NULL, 36,    40, 12, 1, 'Evapotranspiration total ', '(IN, MM)'
'EV', 'RZZ', 'D', NULL, 36,    40, 12, 1, 'Evaporation, lake computed ', '(IN, MM)'
'FA', 'RZZ', 'I', NULL, 17,    17, 362, 1, 'Fish - shad', NULL
'FB', 'RZZ', 'I', NULL, 17,    17, 363, 1, 'Fish - sockeye', NULL
'FC', 'RZZ', 'I', NULL, 17,    17, 364, 1, 'Fish - chinook', NULL
'FE', 'RZZ', 'I', NULL, 17,    17, 365, 1, 'Fish - chum', NULL
'FK', 'RZZ', 'I', NULL, 17,    17, 366, 1, 'Fish - coho', NULL
'FL', 'RZZ', 'I', NULL, NULL,    NULL, 367, 6, 'Fish - ladder ', '(1=left, 2=right, 3=total)'
'FP', 'RZZ', 'I', NULL, 17,    17, 368, 1, 'Fish - pink', NULL
'FS', 'RZZ', 'I', NULL, 17,    17, 369, 1, 'Fish - steelhead', NULL
'FT', 'RZZ', 'I', NULL, NULL,    NULL, 370, 6, 'Fish type - type ', '(1=adult, 2=jacks, 3=fingerlings)'
'FZ', 'RZZ', 'I', NULL, 17,    17, 371, 1, 'Fish - count of all types combined', NULL
'GD', 'RZZ', 'I', NULL, 36,    34, 15, 6, 'Frost depth, depth of frost penetration, non permafrost ', '(IN, CM)'
'GR', 'RZZ', 'I', NULL, NULL,    NULL, 372, 6, 'Frost report, structure ', '(coded, see Table 16)'
'GS', 'RZZ', 'I', NULL, NULL,    NULL, 373, 6, 'Ground state ', '(coded, see Table 18)'
'GT', 'RZZ', 'I', NULL, 36,    34, 374, 6, 'Frost, depth of surface frost thawed ', '(IN, CM)'
'HA', 'RZZ', 'I', NULL, 35,    38, 10, 6, 'Height of reading, altitude above surface ', '(FT, M)'
